,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
35,36," Aybar, E",LAA, ,430947,SS,156,597,74,161,30,1,3,44,25,73,15,6,.270,.301,.338,.639,1,4,7,5,202,34,12,241,146,1.65,2155,638
36,37," Jones, A",BAL, ,430945,CF,137,546,74,147,25,3,27,82,24,102,3,1,.269,.308,.474,.782,3,8,0,3,259,55,21,179,142,1.26,1996,581
37,38," Seager, K",SEA, ,572122,3B,161,623,85,166,37,0,26,74,54,98,6,6,.266,.328,.451,.779,6,5,0,4,281,63,17,161,219,0.74,2537,686
38,39," Cabrera, A",TB, ,452678,SS,143,505,66,134,28,5,15,58,36,107,6,3,.265,.315,.430,.744,4,3,1,6,217,48,14,128,157,0.82,2067,551
39,40," Mauer, J",MIN, ,408045,1B,158,592,69,157,34,2,10,66,67,112,2,1,.265,.338,.380,.718,12,1,1,5,225,46,22,242,109,2.22,2715,666
40,41," Gregorius, D",NYY, ,544369,SS,155,525,57,139,24,2,9,56,33,85,5,3,.265,.318,.370,.688,0,11,3,6,194,35,4,157,157,1.00,2093,578
41,42," Kiermaier, K",TB, ,595281,CF,151,505,62,133,25,12,10,40,24,95,18,5,.263,.298,.420,.718,0,2,2,2,212,47,7,156,132,1.18,1954,535
42,43," Davis, C",BAL, ,448801,1B,160,573,100,150,31,0,47,117,84,208,2,3,.262,.361,.562,.923,6,8,0,5,322,78,6,109,117,0.93,2786,670
43,44," Vogt, S",OAK, ,519390,C,136,445,58,116,21,3,18,71,56,97,0,2,.261,.341,.443,.783,6,2,0,8,197,42,9,115,134,0.86,2102,511
44,45," Perez, S",KC, ,521692,C,142,531,52,138,25,0,21,70,13,82,1,0,.260,.280,.426,.706,4,4,0,5,226,46,23,179,160,1.12,1840,553
45,46," Lawrie, B",OAK, ,543434,3B,149,562,64,146,29,3,16,60,28,144,5,2,.260,.299,.407,.706,1,5,3,4,229,48,8,161,126,1.28,2297,602
46,47," Gardner, B",NYY, ,458731,LF,151,571,94,148,26,3,16,66,68,135,20,5,.259,.343,.399,.742,1,6,8,3,228,45,8,162,145,1.12,2732,656
47,48," Headley, C",NYY, ,452104,3B,156,580,74,150,29,1,11,62,51,135,0,2,.259,.324,.369,.693,0,7,0,4,214,41,17,169,147,1.15,2561,642
48,49," Andrus, E",TEX, ,462101,SS,160,596,69,154,34,2,7,62,46,78,25,9,.258,.309,.357,.667,1,2,8,9,213,43,14,206,189,1.09,2444,661
49,50," Semien, M",OAK, ,543760,SS,155,556,65,143,23,7,15,45,42,132,11,5,.257,.310,.405,.715,1,1,1,1,225,45,16,140,159,0.88,2369,601
50,51," Garcia, A",CWS, ,541645,DH,148,553,66,142,17,2,13,59,36,141,7,7,.257,.309,.365,.675,3,8,0,4,202,32,13,175,112,1.56,2142,601
51,52," Escobar, A",KC, ,444876,SS,148,612,76,157,20,5,3,47,26,75,17,5,.257,.293,.320,.614,1,8,11,5,196,28,10,218,188,1.16,2311,662
52,53," Calhoun, K",LAA, ,594777,RF,159,630,78,161,23,2,26,83,45,164,4,1,.256,.308,.422,.731,1,5,2,4,266,51,6,165,152,1.09,2557,686
